09-16-2026 12:53:00 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@1267,0%@1267,0%@1267,0%@1267,0%@1344,0%@1344,0%@1344,0%@1344] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.25C/49.906C soc2@48.25C/48.531C soc0@48.531C/48.593C cv1@47.843C/48.343C gpu@47.375C/48.312C tj@50.125C/50.343C soc1@50.156C/50.343C cv2@46.687C/46.906C VDD_IN 6177mW/7302mW/10778mW VDD_CPU_GPU_CV 1234mW/1952mW/3694mW VDD_SOC 1544mW/1710mW/2463mW
09-16-2026 12:53:01 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.843C/48.406C cpu@49.156C/49.906C soc2@48.218C/48.531C soc0@48.406C/48.593C cv1@47.781C/48.343C gpu@47.281C/48.312C tj@50.125C/50.343C soc1@50.125C/50.343C cv2@46.656C/46.906C VDD_IN 6022mW/7203mW/10778mW VDD_CPU_GPU_CV 1234mW/1897mW/3694mW VDD_SOC 1544mW/1697mW/2463mW
09-16-2026 12:53:02 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.75C/48.406C cpu@49.281C/49.906C soc2@48.281C/48.531C soc0@48.468C/48.593C cv1@47.812C/48.343C gpu@47.281C/48.312C tj@50.156C/50.343C soc1@50.156C/50.343C cv2@46.718C/46.906C VDD_IN 6022mW/7119mW/10778mW VDD_CPU_GPU_CV 1234mW/1850mW/3694mW VDD_SOC 1544mW/1686mW/2463mW
09-16-2026 12:53:03 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.406C/49.906C soc2@48.281C/48.531C soc0@48.468C/48.593C cv1@47.937C/48.343C gpu@47.156C/48.312C tj@50.218C/50.343C soc1@50.218C/50.343C cv2@46.781C/46.906C VDD_IN 6022mW/7046mW/10778mW VDD_CPU_GPU_CV 1234mW/1809mW/3694mW VDD_SOC 1544mW/1676mW/2463mW
09-16-2026 12:53:04 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.843C/48.406C cpu@49.062C/49.906C soc2@48.218C/48.531C soc0@48.406C/48.593C cv1@47.781C/48.343C gpu@47.156C/48.312C tj@50.218C/50.343C soc1@50.218C/50.343C cv2@46.593C/46.906C VDD_IN 6022mW/6982mW/10778mW VDD_CPU_GPU_CV 1234mW/1773mW/3694mW VDD_SOC 1544mW/1668mW/2463mW
09-16-2026 12:53:05 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.25C/49.906C soc2@48.312C/48.531C soc0@48.375C/48.593C cv1@47.812C/48.343C gpu@47.281C/48.312C tj@50.156C/50.343C soc1@50.156C/50.343C cv2@46.687C/46.906C VDD_IN 6022mW/6925mW/10778mW VDD_CPU_GPU_CV 1234mW/1741mW/3694mW VDD_SOC 1544mW/1661mW/2463mW
09-16-2026 12:53:06 RAM 9588/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.75C/48.406C cpu@49.312C/49.906C soc2@48.187C/48.531C soc0@48.531C/48.593C cv1@47.812C/48.343C gpu@47.312C/48.312C tj@50.156C/50.343C soc1@50.156C/50.343C cv2@46.781C/46.906C VDD_IN 6022mW/6875mW/10778mW VDD_CPU_GPU_CV 1234mW/1713mW/3694mW VDD_SOC 1544mW/1654mW/2463mW
09-16-2026 12:53:07 RAM 9586/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.031C/49.906C soc2@48.281C/48.531C soc0@48.343C/48.593C cv1@47.781C/48.343C gpu@47.281C/48.312C tj@50.375C/50.375C soc1@50.125C/50.343C cv2@46.656C/46.906C VDD_IN 6022mW/6830mW/10778mW VDD_CPU_GPU_CV 1234mW/1688mW/3694mW VDD_SOC 1544mW/1649mW/2463mW
09-16-2026 12:53:08 RAM 9586/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.812C/48.406C cpu@49.343C/49.906C soc2@48.156C/48.531C soc0@48.406C/48.593C cv1@47.843C/48.343C gpu@47.062C/48.312C tj@50.156C/50.375C soc1@50.156C/50.343C cv2@46.718C/46.906C VDD_IN 6022mW/6790mW/10778mW VDD_CPU_GPU_CV 1234mW/1665mW/3694mW VDD_SOC 1544mW/1643mW/2463mW
09-16-2026 12:53:09 RAM 9587/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.906C/48.406C cpu@49.093C/49.906C soc2@48.187C/48.531C soc0@48.406C/48.593C cv1@47.75C/48.343C gpu@47.281C/48.312C tj@50.25C/50.375C soc1@50.25C/50.343C cv2@46.625C/46.906C VDD_IN 6022mW/6753mW/10778mW VDD_CPU_GPU_CV 1234mW/1644mW/3694mW VDD_SOC 1544mW/1639mW/2463mW
09-16-2026 12:53:10 RAM 9586/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,2%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.718C/48.406C cpu@49.093C/49.906C soc2@48.281C/48.531C soc0@48.437C/48.593C cv1@47.718C/48.343C gpu@47.281C/48.312C tj@50.156C/50.375C soc1@50.156C/50.343C cv2@46.625C/46.906C VDD_IN 6177mW/6727mW/10778mW VDD_CPU_GPU_CV 1234mW/1626mW/3694mW VDD_SOC 1544mW/1634mW/2463mW
09-16-2026 12:53:11 RAM 9586/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,4%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.843C/48.406C cpu@49.218C/49.906C soc2@48.156C/48.531C soc0@48.437C/48.593C cv1@47.843C/48.343C gpu@47.093C/48.312C tj@50.218C/50.375C soc1@50.218C/50.343C cv2@46.718C/46.906C VDD_IN 6177mW/6703mW/10778mW VDD_CPU_GPU_CV 1234mW/1609mW/3694mW VDD_SOC 1544mW/1630mW/2463mW
09-16-2026 12:53:12 RAM 9586/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.906C/48.406C cpu@49.062C/49.906C soc2@48.187C/48.531C soc0@48.375C/48.593C cv1@47.781C/48.343C gpu@47.281C/48.312C tj@50.156C/50.375C soc1@50.156C/50.343C cv2@46.625C/46.906C VDD_IN 6020mW/6675mW/10778mW VDD_CPU_GPU_CV 1234mW/1593mW/3694mW VDD_SOC 1543mW/1627mW/2463mW
09-16-2026 12:53:13 RAM 9586/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.75C/48.406C cpu@49.125C/49.906C soc2@48.281C/48.531C soc0@48.312C/48.593C cv1@47.718C/48.343C gpu@47.312C/48.312C tj@50.093C/50.375C soc1@50.093C/50.343C cv2@46.625C/46.906C VDD_IN 6174mW/6655mW/10778mW VDD_CPU_GPU_CV 1234mW/1579mW/3694mW VDD_SOC 1543mW/1623mW/2463mW
09-16-2026 12:53:14 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.218C/49.906C soc2@48.187C/48.531C soc0@48.468C/48.593C cv1@47.875C/48.343C gpu@47.031C/48.312C tj@50.093C/50.375C soc1@50.187C/50.343C cv2@46.656C/46.906C VDD_IN 6174mW/6636mW/10778mW VDD_CPU_GPU_CV 1234mW/1565mW/3694mW VDD_SOC 1543mW/1620mW/2463mW
09-16-2026 12:53:15 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.843C/48.406C cpu@49.093C/49.906C soc2@48.281C/48.531C soc0@48.343C/48.593C cv1@47.75C/48.343C gpu@47.343C/48.312C tj@50.093C/50.375C soc1@50.093C/50.343C cv2@46.531C/46.906C VDD_IN 6174mW/6619mW/10778mW VDD_CPU_GPU_CV 1234mW/1553mW/3694mW VDD_SOC 1544mW/1617mW/2463mW
09-16-2026 12:53:16 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.718C/48.406C cpu@49.25C/49.906C soc2@48.125C/48.531C soc0@48.5C/48.593C cv1@47.781C/48.343C gpu@47.093C/48.312C tj@50.187C/50.375C soc1@50.187C/50.343C cv2@46.687C/46.906C VDD_IN 6022mW/6598mW/10778mW VDD_CPU_GPU_CV 1234mW/1542mW/3694mW VDD_SOC 1544mW/1615mW/2463mW
09-16-2026 12:53:17 RAM 9585/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.781C/48.406C cpu@49.093C/49.906C soc2@48.093C/48.531C soc0@48.312C/48.593C cv1@47.718C/48.343C gpu@47.312C/48.312C tj@50.187C/50.375C soc1@50.187C/50.343C cv2@46.531C/46.906C VDD_IN 6022mW/6578mW/10778mW VDD_CPU_GPU_CV 1234mW/1531mW/3694mW VDD_SOC 1544mW/1612mW/2463mW
